instruction,input,output
Who or what is INT?,,258 INT.
What is the main point about INT?,,258 INT.
Who or what is CIA?,,CIA - THE PIT - NIGHT 258 LAMONT Telex on Flash.
Who or what is PIT?,,CIA - THE PIT - NIGHT 258 LAMONT Telex on Flash.
Who or what is LAMONT Telex?,,CIA - THE PIT - NIGHT 258 LAMONT Telex on Flash.
Who or what is Flash?,,CIA - THE PIT - NIGHT 258 LAMONT Telex on Flash.
What is the main point about CIA?,,CIA - THE PIT - NIGHT 258 LAMONT Telex on Flash.
What is the main point about telex?,,"The telex begins to print, line by line..."
Who or what is THE UNITED STATES?,,EYES ONLY -- OFFICE OF THE PRESIDENT OF THE UNITED STATES -- HOLLYWOOD OPTION APPROVED -- GOOD LUCK.
What is the main point about EYES?,,EYES ONLY -- OFFICE OF THE PRESIDENT OF THE UNITED STATES -- HOLLYWOOD OPTION APPROVED -- GOOD LUCK.
Who or what is Carter?,,"( Carter White House telex, 1291980.) O'DONNELL Copy D.S.! Confirm the tickets! GO! 259 INT."
Who or what is White House?,,"( Carter White House telex, 1291980.) O'DONNELL Copy D.S.! Confirm the tickets! GO! 259 INT."
When did the events related to 1291980 occur?,,"( Carter White House telex, 1291980.) O'DONNELL Copy D.S.! Confirm the tickets! GO! 259 INT."
Who or what is Copy D.S.?,,"( Carter White House telex, 1291980.) O'DONNELL Copy D.S.! Confirm the tickets! GO! 259 INT."
Who or what is INT?,,"( Carter White House telex, 1291980.) O'DONNELL Copy D.S.! Confirm the tickets! GO! 259 INT."
What is the main point about Carter?,,"( Carter White House telex, 1291980.) O'DONNELL Copy D.S.! Confirm the tickets! GO! 259 INT."
Who or what is Houseguests?,,SWISSAIR COUNTER (MEHRABAD) - MORNING 259 Mendez's and the Houseguests' passports sit on the counter.
What is the main point about SWISSAIR?,,SWISSAIR COUNTER (MEHRABAD) - MORNING 259 Mendez's and the Houseguests' passports sit on the counter.
What is the main point about SWISSAIR?,,"SWISSAIR REP I'm sorry, sir."
What is the main point about reservations?,,I don't have those reservations...
Who or what is SWISSAIR REP?,,"SWISSAIR REP looks at some green text on her screen, hits another button."
What is the main point about SWISSAIR?,,"SWISSAIR REP looks at some green text on her screen, hits another button."
What is the main point about SWISSAIR?,,SWISSAIR REP My apologies.
What is the main point about button?,,She hits another button and tickets start to print.
What is the main point about INT?,,260 INT.
Who or what is CIA?,,CIA - THE PIT - NIGHT 260 MALINOV (to O'Donnell) Swissair says they've picked up the tickets.
Who or what is O'Donnell)?,,CIA - THE PIT - NIGHT 260 MALINOV (to O'Donnell) Swissair says they've picked up the tickets.
What is the main point about CIA?,,CIA - THE PIT - NIGHT 260 MALINOV (to O'Donnell) Swissair says they've picked up the tickets.
Who or what is O'DONNELL Get?,,O'DONNELL Get the L.A. office -- tell them to be ready in case they call.
Who or what is L.A.?,,O'DONNELL Get the L.A. office -- tell them to be ready in case they call.
What is the main point about O'DONNELL?,,O'DONNELL Get the L.A. office -- tell them to be ready in case they call.
What is the main point about CONTINUED?,,(CONTINUED) ARGO - Final 101.
What is the main point about CONTINUED?,,260 CONTINUED: 260 MALINOV We told them to shut that down! He RUNS toward a phone -- 261 INT.
Who or what is MEHRABAD AIRPORT - FIRST CHECKPOINT - MORNING?,,MEHRABAD AIRPORT - FIRST CHECKPOINT - MORNING 261 The PASSPORT OFFICIAL is looking at the Canadian passports of the six and waving them through.
What is the main point about MEHRABAD?,,MEHRABAD AIRPORT - FIRST CHECKPOINT - MORNING 261 The PASSPORT OFFICIAL is looking at the Canadian passports of the six and waving them through.
What is the main point about Mendez?,,Mendez has already passed.
Who or what is Kathy Stafford?,,Everyone except Kathy Stafford.
What is the main point about Kathy?,,Everyone except Kathy Stafford.
Who or what is Kathy?,,"The Passport Official looks at Kathy, who is doing her best to look friendly and casual."
What is the main point about Passport?,,"The Passport Official looks at Kathy, who is doing her best to look friendly and casual."
Who or what is Kathy?,,"Then he looks at Kathy's passport, in which she looks stern and angry."
What is the main point about Kathy?,,"Then he looks at Kathy's passport, in which she looks stern and angry."
Who or what is Kathy Stafford smoothes?,,"Kathy Stafford smoothes down her hair, frowns like she ds in the passport photo."
What is the main point about Kathy?,,"Kathy Stafford smoothes down her hair, frowns like she ds in the passport photo."
Who or what is The Passport Official?,,The Passport Official half smiles and waves her through.
What is the main point about Passport?,,The Passport Official half smiles and waves her through.
What is the main point about checkpoint?,,They've all cleared the first checkpoint.
Who or what is INT?,,262 INT.
What is the main point about INT?,,262 INT.
Who or what is KOMITEH?,,KOMITEH HQ - MORNING 262 Khalkali comes upon a diplomatic photograph of a man with glasses.
Who or what is Khalkali?,,KOMITEH HQ - MORNING 262 Khalkali comes upon a diplomatic photograph of a man with glasses.
What is the main point about KOMITEH?,,KOMITEH HQ - MORNING 262 Khalkali comes upon a diplomatic photograph of a man with glasses.
What is the main point about photographs?,,He starts to leaf through the photographs from the bazaar.
Who or what is QUICK CUT TO?,,QUICK CUT TO: 263 EXT.
Who or what is EXT?,,QUICK CUT TO: 263 EXT.
What is the main point about CUT?,,QUICK CUT TO: 263 EXT.
Who or what is BAZAAR - POV OF?,,BAZAAR - POV OF THE REVOLUTIONARY GUARD PHOTOGRAPHER 263 - DAY Mark Lijek being photographed at the bazaar the previous
When did the events related to 263 - DAY occur?,,BAZAAR - POV OF THE REVOLUTIONARY GUARD PHOTOGRAPHER 263 - DAY Mark Lijek being photographed at the bazaar the previous day.
Who or what is Mark Lijek?,,BAZAAR - POV OF THE REVOLUTIONARY GUARD PHOTOGRAPHER 263 - DAY Mark Lijek being photographed at the bazaar the previous day.
When did the events related to the previous day occur?,,- POV OF THE REVOLUTIONARY GUARD PHOTOGRAPHER 263 - DAY Mark Lijek being photographed at the bazaar the previous day.
What is the main point about BAZAAR?,,BAZAAR - POV OF THE REVOLUTIONARY GUARD PHOTOGRAPHER 263 - DAY Mark Lijek being photographed at the bazaar the previous day.
Who or what is QUICK CUT BACK?,,QUICK CUT BACK TO: 264 INT.
Who or what is INT?,,QUICK CUT BACK TO: 264 INT.
What is the main point about INT?,,QUICK CUT BACK TO: 264 INT.
Who or what is KOMITEH?,,"KOMITEH HQ - MORNING 264 KHALKALI -- looks at the black and white still of Mark Lijek, compares it to his diplomatic"
Who or what is KHALKALI?,,"KOMITEH HQ - MORNING 264 KHALKALI -- looks at the black and white still of Mark Lijek, compares it to his diplomatic picture, the first"
Who or what is Mark Lijek?,,"KOMITEH HQ - MORNING 264 KHALKALI -- looks at the black and white still of Mark Lijek, compares it to his diplomatic picture, the first portrait we saw of Mark toward the beginning of the"
Who or what is Mark?,,"KOMITEH HQ - MORNING 264 KHALKALI -- looks at the black and white still of Mark Lijek, compares it to his diplomatic picture, the first portrait we saw of Mark toward the beginning"
What is the main point about KOMITEH?,,"KOMITEH HQ - MORNING 264 KHALKALI -- looks at the black and white still of Mark Lijek, compares it to his diplomatic picture, the first portrait we saw of Mark toward the beginning of the film."
What is the main point about MATCH?,,MATCH.
Who or what is Khalkali?,,Khalkali stands up.
What is the main point about Khalkali?,,Khalkali stands up.
Who or what is Farsi?,,SHOUTS in Farsi to another Komiteh -- ARGO - Final 102. 265 INT.
Who or what is Komiteh?,,SHOUTS in Farsi to another Komiteh -- ARGO - Final 102. 265 INT.
Who or what is INT?,,SHOUTS in Farsi to another Komiteh -- ARGO - Final 102. 265 INT.
What is the main point about SHOUTS?,,SHOUTS in Farsi to another Komiteh -- ARGO - Final 102. 265 INT.
Who or what is MEHRABAD AIRPORT - SECOND CHECKPOINT - MORNING?,,MEHRABAD AIRPORT - SECOND CHECKPOINT - MORNING 265 Bob Anders stands in front of a rough-voiced IMMIGRATION OFFICER.
Who or what is Bob Anders?,,MEHRABAD AIRPORT - SECOND CHECKPOINT - MORNING 265 Bob Anders stands in front of a rough-voiced IMMIGRATION OFFICER.
What is the main point about MEHRABAD?,,MEHRABAD AIRPORT - SECOND CHECKPOINT - MORNING 265 Bob Anders stands in front of a rough-voiced IMMIGRATION OFFICER.
Who or what is Bob Anders'?,,"He's holding Bob Anders' YELLOW IMMIGRATION FORM and leafing through a file of hundreds of WHITE IMMIGRATION FORMS, the duplicates."
What is the main point about Bob?,,"He's holding Bob Anders' YELLOW IMMIGRATION FORM and leafing through a file of hundreds of WHITE IMMIGRATION FORMS, the duplicates."
What is the main point about success?,,Without success.
Who or what is Farsi?,,"IMMIGRATION OFFICER 2 (in Farsi; to Officer 1, re: his own WHITE PILE) Nothing."
What is the main point about IMMIGRATION?,,"IMMIGRATION OFFICER 2 (in Farsi; to Officer 1, re: his own WHITE PILE) Nothing."
Who or what is Bob Anders?,,IMMIGRATION OFFICER (to Bob Anders) When did you say you arrived in Iran? BOB ANDERS Two days ago.
Who or what is Iran?,,IMMIGRATION OFFICER (to Bob Anders) When did you say you arrived in Iran? BOB ANDERS Two days ago.
When did the events related to Two days ago occur?,,IMMIGRATION OFFICER (to Bob Anders) When did you say you arrived in Iran? BOB ANDERS Two days ago.
What is the main point about IMMIGRATION?,,IMMIGRATION OFFICER (to Bob Anders) When did you say you arrived in Iran? BOB ANDERS Two days ago.
What is the main point about IMMIGRATION?,,IMMIGRATION OFFICER What was the purpose of your visit? BOB ANDERS We were looking at locations to make a film.
What is the main point about director?,,I'm the director.
What is the main point about Immigration?,,Immigration Officer pauses and looks up.
What is the main point about faces?,,Looks at the six other faces.
Who or what is Tony?,,He looks every bit as confrontational as Tony acted in rehearsal.
What is the main point about bit?,,He looks every bit as confrontational as Tony acted in rehearsal.
What is the main point about BOB?,,BOB ANDERS (VERY CALM) We have a letter from the Minister of Culture ...
What is the main point about Immigration?,,The Immigration Officer gestures for the letter.
Who or what is Bob?,,Bob takes the letter inviting them on their location scout out of a folder.
What is the main point about Bob?,,Bob takes the letter inviting them on their location scout out of a folder.
Who or what is Tony?,,"Tony, barely perceptibly, nods."
What is the main point about Tony?,,"Tony, barely perceptibly, nods."
What is the main point about INT?,,266 INT.
Who or what is KOMITEH?,,"KOMITEH HQ - MORNING 266 Khalkali is now speaking with MORADI, an older Komiteh official."
Who or what is Khalkali?,,"KOMITEH HQ - MORNING 266 Khalkali is now speaking with MORADI, an older Komiteh official."
Who or what is MORADI?,,"KOMITEH HQ - MORNING 266 Khalkali is now speaking with MORADI, an older Komiteh official."
Who or what is Komiteh?,,"KOMITEH HQ - MORNING 266 Khalkali is now speaking with MORADI, an older Komiteh official."
What is the main point about KOMITEH?,,"KOMITEH HQ - MORNING 266 Khalkali is now speaking with MORADI, an older Komiteh official."
Who or what is Farsi?,,"They speak Farsi and it's untranslated, but we get it."
What is the main point about Farsi?,,"They speak Farsi and it's untranslated, but we get it."
Who or what is Mark Lijek?,,He is showing the photograph of Mark Lijek from the bazaar and comparing it to the U.S. diplomatic photograph.
Who or what is U.S.?,,He is showing the photograph of Mark Lijek from the bazaar and comparing it to the U.S. diplomatic photograph.
What is the main point about photograph?,,He is showing the photograph of Mark Lijek from the bazaar and comparing it to the U.S. diplomatic photograph.
Who or what is Khalkali?,,Moradi picks up the phone as Khalkali heads out.
What is the main point about Moradi?,,Moradi picks up the phone as Khalkali heads out.
What is the main point about ARGO?,,ARGO - Final 103.
What is the main point about INT?,,267 INT.
Who or what is MEHRABAD AIRPORT - SECOND CHECKPOINT - MORNING?,,MEHRABAD AIRPORT - SECOND CHECKPOINT - MORNING 267 Immigration Officer is conferring with Immigration Officer 2 as they look at the letter from the
What is the main point about MEHRABAD?,,MEHRABAD AIRPORT - SECOND CHECKPOINT - MORNING 267 Immigration Officer is conferring with Immigration Officer 2 as they look at the letter from the Minister of Culture.
What is the main point about Houseguests?,,The Houseguests and Mendez wait.
What is the main point about Immigration?,,"Finally, Immigration Officer 2 shrugs."
What is the main point about IMMIGRATION?,,IMMIGRATION OFFICER Okay -- Yes -- Okay -- He waves them through.
What is the main point about checkpoint?,,Second checkpoint done.
What is the main point about INT?,,268 INT.
Who or what is CIA?,,"CIA - THE PIT - NIGHT 268 Malinov, a phone to his ear."
Who or what is PIT?,,"CIA - THE PIT - NIGHT 268 Malinov, a phone to his ear."
Who or what is Malinov?,,"CIA - THE PIT - NIGHT 268 Malinov, a phone to his ear."
What is the main point about CIA?,,"CIA - THE PIT - NIGHT 268 Malinov, a phone to his ear."
What is the main point about Ringing?,,Ringing.
What is the main point about C'm?,,MALINOV C'mon c'mon c'mon -- 269 INT.
What is the main point about ARGO?,,ARGO PRODUCTION OFFICE - NIGHT 269 The phone in the office rings.
What is the main point about one?,,No one is there.
Who or what is EXT?,,270 EXT.
What is the main point about EXT?,,270 EXT.
Who or what is WARNER BROS?,,WARNER BROS.
What is the main point about WARNER?,,WARNER BROS.
Who or what is STUDIOS - NIGHT?,,STUDIOS - NIGHT 270 Siegel and Chambers are walking back to the Argo office.
Who or what is Siegel?,,STUDIOS - NIGHT 270 Siegel and Chambers are walking back to the Argo office.
Who or what is Chambers?,,STUDIOS - NIGHT 270 Siegel and Chambers are walking back to the Argo office.
What is the main point about STUDIOS?,,STUDIOS - NIGHT 270 Siegel and Chambers are walking back to the Argo office.
Who or what is P.A.?,,"They are within sight of the Argo bungalow, but a P.A. steps in front of them."
What is the main point about sight?,,"They are within sight of the Argo bungalow, but a P.A. steps in front of them."
Who or what is P.A.?,,"P.A. (a stage whisper) I'm sorry, we're shooting."
What is the main point about P.A.?,,"P.A. (a stage whisper) I'm sorry, we're shooting."
What is the main point about movie?,,A movie -- it looks like a police procedural -- is shooting on the lot between them and the office.
Who or what is INT?,,271 INT.
What is the main point about INT?,,271 INT.
Who or what is ANNOUNCEMENT?,,AIRPORT GATE - MORNING 271 ANNOUNCEMENT (V.O.) Swissair announces general boarding for Flight 363 to Zurich.
Who or what is V.O.) Swissair?,,AIRPORT GATE - MORNING 271 ANNOUNCEMENT (V.O.) Swissair announces general boarding for Flight 363 to Zurich.
Who or what is Zurich?,,AIRPORT GATE - MORNING 271 ANNOUNCEMENT (V.O.) Swissair announces general boarding for Flight 363 to Zurich.
What is the main point about AIRPORT?,,AIRPORT GATE - MORNING 271 ANNOUNCEMENT (V.O.) Swissair announces general boarding for Flight 363 to Zurich.
What is the main point about Passengers?,,"Passengers, mostly European businessmen, get up and approach the gate."
What is the main point about ARGO?,,ARGO - Final 104.
What is the main point about INT?,,272 INT.
Who or what is MEHRABAD AIRPORT - THIRD CHECKPOINT - MORNING?,,MEHRABAD AIRPORT - THIRD CHECKPOINT - MORNING 272 Mendez checks in with the Houseguests with his eyes.
What is the main point about MEHRABAD?,,MEHRABAD AIRPORT - THIRD CHECKPOINT - MORNING 272 Mendez checks in with the Houseguests with his eyes.
What is the main point about sight?,,They are now in sight of the airport gates.
Who or what is Komiteh?,,And here are six Komiteh.
What is the main point about Komiteh?,,And here are six Komiteh.
What is the main point about men?,,Young men -- none more than 33 or so -- holding automatic weapons.
What is the main point about checkpoint?,,They have created their own checkpoint.
Who or what is SCREENED-OFF AREA?,,"It looks recent, A SCREENED-OFF AREA WITH TABLES."
What is the main point about SCREENED?,,"It looks recent, A SCREENED-OFF AREA WITH TABLES."
Who or what is KOMITEH 1 Passports?,,KOMITEH 1 Passports.
What is the main point about KOMITEH?,,KOMITEH 1 Passports.
What is the main point about passports?,,He looks at the Canadian passports and then almost immediately speaks.
Who or what is KOMITEH?,,KOMITEH 1 You come.
What is the main point about KOMITEH?,,KOMITEH 1 You come.
What is the main point about Mendez?,,He directs Mendez and the Houseguests into the screened- off area.
Who or what is Farsi?,,Speaks in Farsi to another Komiteh.
Who or what is Komiteh?,,Speaks in Farsi to another Komiteh.
What is the main point about Speaks?,,Speaks in Farsi to another Komiteh.
What is the main point about INT?,,273 INT.
Who or what is CIA?,,CIA - THE PIT - NIGHT 273 LAMONT (holding the phone) Purser's telling Swissair they're not on the plane.
Who or what is PIT?,,CIA - THE PIT - NIGHT 273 LAMONT (holding the phone) Purser's telling Swissair they're not on the plane.
Who or what is LAMONT?,,CIA - THE PIT - NIGHT 273 LAMONT (holding the phone) Purser's telling Swissair they're not on the plane.
Who or what is Purser?,,CIA - THE PIT - NIGHT 273 LAMONT (holding the phone) Purser's telling Swissair they're not on the plane.
Who or what is Swissair?,,CIA - THE PIT - NIGHT 273 LAMONT (holding the phone) Purser's telling Swissair they're not on the plane.
What is the main point about CIA?,,CIA - THE PIT - NIGHT 273 LAMONT (holding the phone) Purser's telling Swissair they're not on the plane.
What is the main point about O'DONNELL?,,O'DONNELL They should have boarded already.
What is the main point about MALINOV?,,MALINOV (on another phone) Still no answer in L.A. 274 INT.
Who or what is MEHRABAD AIRPORT - THIRD CHECKPOINT - MORNING?,,MEHRABAD AIRPORT - THIRD CHECKPOINT - MORNING 274 MARK LIJEK A film.
What is the main point about MEHRABAD?,,MEHRABAD AIRPORT - THIRD CHECKPOINT - MORNING 274 MARK LIJEK A film.
Who or what is Mark?,,Mark mimes turning the rotor of a movie camera.
What is the main point about Mark?,,Mark mimes turning the rotor of a movie camera.
Who or what is Komiteh?,,Komiteh 1 dsn't understand.
What is the main point about Komiteh?,,Komiteh 1 dsn't understand.
Who or what is AZIZI?,,AZIZI (O.S.) Sit down.
Who or what is O.S.?,,AZIZI (O.S.) Sit down.
What is the main point about AZIZI?,,AZIZI (O.S.) Sit down.
When did the events related to late 20s occur?,,"A young man with a beard -- AZIZI, late 20s -- arriving on the scene, speaking in Farsi to the others and then in very good American English."
Who or what is Farsi?,,"A young man with a beard -- AZIZI, late 20s -- arriving on the scene, speaking in Farsi to the others and then in very good American English."
What is the main point about man?,,"A young man with a beard -- AZIZI, late 20s -- arriving on the scene, speaking in Farsi to the others and then in very good American English."
What is the main point about face?,,He looks at the six and the face he singles out is J Stafford's.
What is the main point about CONTINUED?,,(CONTINUED) ARGO - Final 105.
What is the main point about CONTINUED?,,"274 CONTINUED: 274 AZIZI (harsh, icy; in FARSI) You."
Who or what is Iran?,,You had no business in Iran.
What is the main point about business?,,You had no business in Iran.
What is the main point about J?,,He motions for J STAFFORD to step forward.
What is the main point about Mendez?,,Mendez shifts.
What is the main point about moment?,,A tense moment.
What is the main point about J?,,J STAFFORD (FARSI) We did.
What is the main point about movie?,,"We were preparing to make a movie here, sir."
Who or what is AZIZI?,,AZIZI (FARSI) You don't have journalist visas.
What is the main point about AZIZI?,,AZIZI (FARSI) You don't have journalist visas.
What is the main point about J?,,J STAFFORD (FARSI) Not a documentary.
What is the main point about movie?,,A movie.
Who or what is Azizi?,,J Stafford reaches into his pocket and gives Azizi a copy of the Argo Variety ad.
What is the main point about J?,,J Stafford reaches into his pocket and gives Azizi a copy of the Argo Variety ad.
Who or what is Mendez?,,"J STAFFORD (FARSI) You see? (to Mendez; English) Kevin, where's your briefcase? A beat on Mendez."
Who or what is Kevin?,,"J STAFFORD (FARSI) You see? (to Mendez; English) Kevin, where's your briefcase? A beat on Mendez."
Who or what is Mendez?,,"J STAFFORD (FARSI) You see? (to Mendez; English) Kevin, where's your briefcase? A beat on Mendez."
What is the main point about J?,,"J STAFFORD (FARSI) You see? (to Mendez; English) Kevin, where's your briefcase? A beat on Mendez."
What is the main point about folder?,,Who then opens his accordion folder and takes from it the ARGO STORYBOARDS.
What is the main point about J?,,J Stafford spreads them out on the table.
Who or what is Komiteh?,,"Three other Komiteh in the room lean forward, their AUTOMATIC WEAPONS at their sides, and look at the STORYBOARD DRAWINGS."
What is the main point about Komiteh?,,"Three other Komiteh in the room lean forward, their AUTOMATIC WEAPONS at their sides, and look at the STORYBOARD DRAWINGS."
Who or what is Persian Empire?,,The Persian Empire futurism of Jack Kirby's drawings.
Who or what is Jack Kirby's?,,The Persian Empire futurism of Jack Kirby's drawings.
What is the main point about Persian?,,The Persian Empire futurism of Jack Kirby's drawings.
What is the main point about J?,,J STAFFORD (FARSI) These are the villains.
What is the main point about Y'see?,,Y'see these guys here? And these are the hers... in the spice market...
What is the main point about J?,,J Stafford points at the various drawings.
What is the main point about ease?,,He speaks with an ease and confidence that we didn't know he had.
Who or what is the Chosen One?,,"J STAFFORD (FARSI) They know our hero is the Chosen One, so they kidnap his son in the spice market ..."
What is the main point about J?,,"J STAFFORD (FARSI) They know our hero is the Chosen One, so they kidnap his son in the spice market ..."
What is the main point about chariots?,,They have these chariots...
What is the main point about CONTINUED?,,like this one... (MORE) (CONTINUED) ARGO - Final 106. 274 CONTINUED: (2) 274 J STAFFORD (CONT'D) they go like this...
Who or what is whoooosh?,,"whoooosh, hmm? They can fly..."
What is the main point about whoooosh?,,"whoooosh, hmm? They can fly..."
What is the main point about people?,,"The people are just farmers, but they rise up and find their courage and defeat the alien king-- Mendez watches."
What is the main point about performance?,,It's a performance.
Who or what is Komiteh?,,"The three young Komiteh are now wide-eyed, pointing, whispering in Farsi, like teenagers around a comic book."
Who or what is Farsi?,,"The three young Komiteh are now wide-eyed, pointing, whispering in Farsi, like teenagers around a comic book."
What is the main point about Komiteh?,,"The three young Komiteh are now wide-eyed, pointing, whispering in Farsi, like teenagers around a comic book."
Who or what is Azizi?,,Azizi says something to another Komiteh in the room.
Who or what is Komiteh?,,Azizi says something to another Komiteh in the room.
What is the main point about Azizi?,,Azizi says something to another Komiteh in the room.
What is the main point about AZIZI?,,THEN -- AZIZI (to J Stafford; in ENGLISH) You don't go until we verify.
What is the main point about MENDEZ?,,MENDEZ You can call our office.
Who or what is Azizi?,,Mendez hands Azizi his card.
What is the main point about Mendez?,,Mendez hands Azizi his card.
What is the main point about STUDIO?,,STUDIO SIX FILMS.
Who or what is Kevin Harkins?,,Kevin Harkins.
What is the main point about Kevin?,,Kevin Harkins.
What is the main point about phone?,,A 213 (818 wasn't around yet) phone number.
Who or what is HOUSEGUESTS?,,ANGLES ON THE HOUSEGUESTS as Azizi leaves the room with the business card and three young Komiteh barely look up from the drawings
Who or what is Azizi?,,ANGLES ON THE HOUSEGUESTS as Azizi leaves the room with the business card and three young Komiteh barely look up from the drawings -- 275
Who or what is Komiteh?,,ANGLES ON THE HOUSEGUESTS as Azizi leaves the room with the business card and three young Komiteh barely look up from the drawings -- 275 EXT.
Who or what is EXT?,,leaves the room with the business card and three young Komiteh barely look up from the drawings -- 275 EXT.
What is the main point about ANGLES?,,ANGLES ON THE HOUSEGUESTS as Azizi leaves the room with the business card and three young Komiteh barely look up from the drawings -- 275 EXT.
Who or what is WARNER BROS?,,WARNER BROS.
What is the main point about WARNER?,,WARNER BROS.
Who or what is STUDIOS - NIGHT?,,"STUDIOS - NIGHT 275 P.A., still holding Chambers and Siegel."
Who or what is Chambers?,,"STUDIOS - NIGHT 275 P.A., still holding Chambers and Siegel."
Who or what is Siegel?,,"STUDIOS - NIGHT 275 P.A., still holding Chambers and Siegel."
What is the main point about STUDIOS?,,"STUDIOS - NIGHT 275 P.A., still holding Chambers and Siegel."
Who or what is ACTOR?,,The ACTOR playing the cop is conferring with the director.
What is the main point about ACTOR?,,The ACTOR playing the cop is conferring with the director.
Who or what is P.A. Going?,,"They're holding everyone until the next take, and -- P.A. Going again please! We're ROLLING -- 276 EXT."
Who or what is EXT?,,"They're holding everyone until the next take, and -- P.A. Going again please! We're ROLLING -- 276 EXT."
What is the main point about take?,,"They're holding everyone until the next take, and -- P.A. Going again please! We're ROLLING -- 276 EXT."
Who or what is Komiteh?,,CANADIAN AMBASSADOR'S RESIDENCE - MORNING 276 A PICKUP TRUCK with 5 Komiteh -- including Khalkali -- automatic weapons out -- drives up to the Canadian Ambassador's residence.
Who or what is Khalkali?,,CANADIAN AMBASSADOR'S RESIDENCE - MORNING 276 A PICKUP TRUCK with 5 Komiteh -- including Khalkali -- automatic weapons out -- drives up to the Canadian Ambassador's residence.
What is the main point about AMBASSADOR?,,CANADIAN AMBASSADOR'S RESIDENCE - MORNING 276 A PICKUP TRUCK with 5 Komiteh -- including Khalkali -- automatic weapons out -- drives up to the Canadian Ambassador's residence.
Who or what is INT?,,277 INT.
What is the main point about INT?,,277 INT.
Who or what is MEHRABAD AIRPORT - KOMITEH STATION?,,"MEHRABAD AIRPORT - KOMITEH STATION - MORNING 277 Azizi, who apparently has some authority here, enters, telling another Komiteh in Farsi"
Who or what is Komiteh?,,"KOMITEH STATION - MORNING 277 Azizi, who apparently has some authority here, enters, telling another Komiteh in Farsi to get off the phone."
Who or what is Farsi?,,"STATION - MORNING 277 Azizi, who apparently has some authority here, enters, telling another Komiteh in Farsi to get off the phone."
What is the main point about MEHRABAD?,,"MEHRABAD AIRPORT - KOMITEH STATION - MORNING 277 Azizi, who apparently has some authority here, enters, telling another Komiteh in Farsi to get off the phone."
What is the main point about CONTINUED?,,(CONTINUED) ARGO - Final 107.
Who or what is Azizi?,,277 CONTINUED: 277 Azizi looks at the Studio Six business card and picks up the receiver.
What is the main point about CONTINUED?,,277 CONTINUED: 277 Azizi looks at the Studio Six business card and picks up the receiver.
Who or what is EXT?,,278 EXT.
What is the main point about EXT?,,278 EXT.
Who or what is WARNER BROS?,,WARNER BROS.
What is the main point about WARNER?,,WARNER BROS.
Who or what is STUDIOS - NIGHT?,,"STUDIOS - NIGHT 278 SIEGEL I'm sorry, pally."
What is the main point about STUDIOS?,,"STUDIOS - NIGHT 278 SIEGEL I'm sorry, pally."
What is the main point about movie?,,We're just gonna be in the movie.
What is the main point about agent?,,Call my agent.
What is the main point about P.A.?,,P.A. Sir.
Who or what is Siegel?,,SIR! Siegel and Chambers walk through the shot toward the Argo office.
Who or what is Chambers?,,SIR! Siegel and Chambers walk through the shot toward the Argo office.
What is the main point about SIR?,,SIR! Siegel and Chambers walk through the shot toward the Argo office.
Who or what is INT?,,279 INT.
What is the main point about INT?,,279 INT.
Who or what is MEHRABAD AIRPORT - KOMITEH STATION?,,MEHRABAD AIRPORT - KOMITEH STATION - MORNING 279 Azizi dials the long international number.
What is the main point about MEHRABAD?,,MEHRABAD AIRPORT - KOMITEH STATION - MORNING 279 Azizi dials the long international number.
Who or what is DIAL?,,"And it is a DIAL, so this takes a long time."
What is the main point about DIAL?,,"And it is a DIAL, so this takes a long time."
Who or what is INT?,,280 INT.
What is the main point about INT?,,280 INT.
Who or what is MEHRABAD AIRPORT - THIRD CHECKPOINT - MORNING?,,MEHRABAD AIRPORT - THIRD CHECKPOINT - MORNING 280 One of the young Komiteh is loudly debating with another Komiteh the air-worthiness of a futuristic
Who or what is Komiteh?,,MEHRABAD AIRPORT - THIRD CHECKPOINT - MORNING 280 One of the young Komiteh is loudly debating with another Komiteh the air-worthiness of a futuristic desert glider in the storyboards.
Who or what is Komiteh?,,MEHRABAD AIRPORT - THIRD CHECKPOINT - MORNING 280 One of the young Komiteh is loudly debating with another Komiteh the air-worthiness of a futuristic desert glider in the storyboards.
What is the main point about MEHRABAD?,,MEHRABAD AIRPORT - THIRD CHECKPOINT - MORNING 280 One of the young Komiteh is loudly debating with another Komiteh the air-worthiness of a futuristic desert glider in the storyboards.
What is the main point about thing?,,He's miming the thing crashing.
What is the main point about J?,,J Stafford and the Houseguests are silent.
Who or what is Swissair?,,Mendez can see the line of passengers on their Swissair flight dwindling.
What is the main point about Mendez?,,Mendez can see the line of passengers on their Swissair flight dwindling.
Who or what is INT?,,281 INT.
What is the main point about INT?,,281 INT.
Who or what is MEHRABAD AIRPORT - KOMITEH STATION?,,MEHRABAD AIRPORT - KOMITEH STATION - MORNING 281 Azizi rings the phone three times -- four times -- he's going to hang up -- CHAMBERS (V.O.)
Who or what is V.O.?,,- MORNING 281 Azizi rings the phone three times -- four times -- he's going to hang up -- CHAMBERS (V.O.) (out of breath) Studio Six Films.
What is the main point about MEHRABAD?,,MEHRABAD AIRPORT - KOMITEH STATION - MORNING 281 Azizi rings the phone three times -- four times -- he's going to hang up -- CHAMBERS (V.O.) (out of breath) Studio Six Films.
Who or what is INT?,,282 INT.
What is the main point about INT?,,282 INT.
What is the main point about ARGO?,,ARGO PRODUCTION OFFICE - NIGHT 282 A beat of silence.
